id,govid,govname,award,profile_url,year,name,affiliation,location,deceased
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/peter-m-glazer/,2022,Peter M. Glazer,Yale School of Medicine,Connecticut,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/purnell-w-choppin/,1984,Purnell W. Choppin,Howard Hughes Medical Institute,New York,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/rachel-yehuda/,2019,Rachel Yehuda,Icahn School of Medicine at Mount Sinai,New York,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/ralph-l-brinster/,1986,Ralph L. Brinster,University of Pennsylvania,Pennsylvania,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/regan-lucas-bailey/,2020,Regan Lucas Bailey,Florida State University,Indiana,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/richard-a-flavell/,2006,Richard A. Flavell,Yale School of Medicine,Connecticut,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/richard-a-young/,2019,Richard A. Young,Whitehead Institute for Biomedical Research,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/richard-frackowiak/,2009,Richard Frackowiak,Ecole Polytechnique Federale de Lausanne,France,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/richard-g-farmer/,1983,Richard G. Farmer,University of Rochester Medical Center,Ohio,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/richard-g-frank/,1997,Richard G. Frank,The Brookings Institution,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/richard-s-ross/,1977,Richard S. Ross,Johns Hopkins University School of Medicine,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/rita-k-chow/,1978,Rita K. Chow,National Council on Aging,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/robert-a-fishman/,2001,Robert A. Fishman,No Affiliation,California,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/robert-b-wallace/,2001,Robert B. Wallace,The University of Iowa,Iowa,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/robert-d-bullard/,2024,Robert D. Bullard,Texas Southern University,Texas,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/robert-h-moser/,1978,Robert H. Moser,No Affiliation,,Y
