id,govid,govname,award,year,name,affiliation,deceased,profile_url,membership_type,primary_section,biographical_memoir_available,public_welfare_medal,secondary_section,location
2023,222,National Academy of Sciences,NAS Member,,Alan Alda,"Stony Brook University, The State University of New York",,https://www.nasonline.org/directory-entry/alan-alda-5kmjls/,,,,2016,,
2023,222,National Academy of Sciences,NAS Member,,Harold Amos,Harvard Medical School,Y,https://www.nasonline.org/directory-entry/harold-amos-8b2qxv/,,,No,1995,,
2023,222,National Academy of Sciences,NAS Member,,Norman R. Augustine,Lockheed Martin Corporation,,https://www.nasonline.org/directory-entry/norman-r-augustine-qd4wrk/,,,,2006,,
2023,222,National Academy of Sciences,NAS Member,1949,George W. Bartelmez,,Y,https://www.nasonline.org/directory-entry/george-w-bartelmez-olrj8t/,Member,,Yes,,,
2023,222,National Academy of Sciences,NAS Member,1985,George A. Bartholomew,"University of California, Los Angeles",Y,https://www.nasonline.org/directory-entry/george-a-bartholomew-muv7kt/,Emeritus,Section 27: Evolutionary Biology,Yes,,Section 63: Environmental Sciences and Ecology,
2023,222,National Academy of Sciences,NAS Member,1947,Frederick Bartlett,,Y,https://www.nasonline.org/directory-entry/frederick-bartlett-nawgx8/,International Member,,No,,,
2023,222,National Academy of Sciences,NAS Member,1993,M. S. Bartlett,University of Oxford,Y,https://www.nasonline.org/directory-entry/m-s-bartlett-9eyfzu/,International Member,Section 32: Applied Mathematical Sciences,No,,,
2023,222,National Academy of Sciences,NAS Member,,Leona Baumgartner,No Affiliation,Y,https://www.nasonline.org/directory-entry/leona-baumgartner-wnt6am/,,,No,1977,,
2023,222,National Academy of Sciences,NAS Member,2002,Zdenek P. Bazant,Northwestern University - Evanston,,https://www.nasonline.org/directory-entry/zdenek-p-bazant-4waqvx/,Member,Section 31: Engineering Sciences,,,Section 33: Applied Physical Sciences,
2023,222,National Academy of Sciences,NAS Member,,Arnold O. Beckman,"Beckman Instruments, Inc.",Y,https://www.nasonline.org/directory-entry/arnold-o-beckman-nthga8/,,,No,1999,,
2023,222,National Academy of Sciences,NAS Member,,William D. Carey,No Affiliation,Y,https://www.nasonline.org/directory-entry/william-d-carey-2n3gxy/,,Section 53: Social and Political Sciences,No,1986,,
2023,222,National Academy of Sciences,NAS Member,,Charles Chapin,,Y,https://www.nasonline.org/directory-entry/charles-chapin-s7n1ku/,,,No,1928,,
2023,222,National Academy of Sciences,NAS Member,,Hmm. Page not found.,,,https://www.nasonline.org/directory-entry/nicholas-a-christakis-xdasuv/,,,,,,
2023,222,National Academy of Sciences,NAS Member,,Dale R. Corson,Cornell University,Y,https://www.nasonline.org/directory-entry/dale-r-corson-rv8kuo/,,Section 13: Physics,No,1987,,
2023,222,National Academy of Sciences,NAS Member,,Hugh S. Cumming,,Y,https://www.nasonline.org/directory-entry/hugh-s-cumming-ln1ims/,,,No,1935,,
2023,222,National Academy of Sciences,NAS Member,,Emilio Q. Daddario,No Affiliation,Y,https://www.nasonline.org/directory-entry/emilio-q-daddario-6zescd/,,Section 53: Social and Political Sciences,No,1976,,
2023,222,National Academy of Sciences,NAS Member,,James Doolittle,,Y,https://www.nasonline.org/directory-entry/james-doolittle-hb7gmc/,,,No,1959,,
2023,222,National Academy of Sciences,NAS Member,,David Fairchild,,Y,https://www.nasonline.org/directory-entry/david-fairchild-nha6pz/,,,No,1933,,
2023,222,National Academy of Sciences,NAS Member,,Paul E. Farmer,Harvard Medical School,Y,https://www.nasonline.org/directory-entry/paul-e-farmer-5wosiq/,,,No,2018,,
